month,year,calls_received
January,2023,131
January,2022,156
January,2021,100
January,2020,190
January,2019,115
January,2018,96
January,2017,123
January,2016,118
January,2015,82
January,2014,154
January,2013,61
January,2012,183
February,2023,60
February,2022,130
February,2021,25
February,2020,59
February,2019,85
February,2018,42
February,2017,50
February,2016,61
February,2015,67
February,2014,54
February,2013,43
February,2012,57
March,2023,159
March,2022,241
March,2021,183
March,2020,101
March,2019,116
March,2018,143
March,2017,150
March,2016,216
March,2015,171
March,2014,131
March,2013,117
March,2012,120
April,2023,637
April,2022,935
April,2021,665
April,2020,624
April,2019,732
April,2018,466
April,2017,478
April,2016,652
April,2015,510
April,2014,535
April,2013,436
April,2012,500
April,2011,408
May,2023,2327
May,2022,3298
May,2021,2564
May,2020,2324
May,2019,3094
May,2018,1974
May,2017,2893
May,2016,1553
May,2015,1910
May,2014,2118
May,2013,1705
May,2012,1786
May,2011,2013
June,2023,3395
June,2022,4737
June,2021,3050
June,2020,3068
June,2019,3495
June,2018,2155
June,2017,4000
June,2016,1266
June,2015,1337
June,2014,2323
June,2013,2162
June,2012,2305
June,2011,2802
July,2023,2935
July,2022,3725
July,2021,1042
July,2020,3048
July,2019,2565
July,2018,1651
July,2017,2966
July,2016,1130
July,2015,1002
July,2014,2338
July,2013,1830
July,2012,2460
July,2011,3228
August,2023,5963
August,2022,3147
August,2021,3524
August,2020,2915
August,2019,2474
August,2018,1556
August,2017,2503
August,2016,3329
August,2015,2613
August,2014,2508
August,2013,1590
August,2012,2896
August,2011,3266
September,2023,5397
September,2022,3497
September,2021,5070
September,2020,3683
September,2019,4020
September,2018,2695
September,2017,3003
September,2016,4546
September,2015,5408
September,2014,3469
September,2013,3550
September,2012,3778
September,2011,3618
October,2023,3982
October,2022,3033
October,2021,3536
October,2020,2353
October,2019,3143
October,2018,2539
October,2017,2419
October,2016,2976
October,2015,3379
October,2014,2308
October,2013,2757
October,2012,2730
October,2011,3210
November,2023,1648
November,2022,1209
November,2021,1314
November,2020,1144
November,2019,1217
November,2018,1108
November,2017,899
November,2016,990
November,2015,1475
November,2014,728
November,2013,892
November,2012,966
November,2011,1632
December,2023,722
December,2022,410
December,2021,701
December,2020,371
December,2019,456
December,2018,507
December,2017,293
December,2016,441
December,2015,471
December,2014,229
December,2013,382
December,2012,336
December,2011,576
